Level,Date and Time,Source,Event ID,Task Category
Information,07-07-2026 21:18:06,Windows Error Reporting,1001,"Fault bucket 2247644428102348792, type 5
Event Name: WindowsWcpOtherFailure3
Response: Not available
Cab Id: 0

Problem signature:
P1: 10.0.26100.8733:1
P2: wcp\componentstore\scavenge.cpp
P3: ComponentStore::CRawStoreLayout::RetainFileAsVersion
P4: 1834
P5: c015001b
P6: 0xe8d35e54
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260707154321.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260703174020.cab
\\?\C:\Windows\Logs\CBS\container.etl
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\WinSxs\poqexec.log
\\?\C:\WINDOWS\Logs\Cbs\FilterList.log
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.f2a00499-06d3-41c9-9bfb-51fcffd804d6.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260706_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.acba96d9-8b61-4117-876e-2d461b4a3dc0.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d6a19916-4ab1-4fb4-8245-6c6395b3bbed.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.64fed99c-957c-4643-988c-c6145a766c60.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e4d95919-26d0-4e60-bb95-c33afb4b7441.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7e28af5c-f81b-4a1b-bf39-8843e26699cc.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.79bebaf3-5b62-4e44-9e17-8f18465e41b0.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\memory.hdmp
\\?\C:\Windows\SystemTemp\WER.33f475c3-90da-4aec-865f-0bf0dab63713.tmp.WERDataCollectionStatus.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_01493d3b-b661-439f-a02c-f2be24956cf6

Analysis symbol: 
Rechecking for solution: 0
Report Id: 01493d3b-b661-439f-a02c-f2be24956cf6
Report Status: 268435456
Hashed bucket: cf49af30bc17d084bf313cb2e66d2ff8
Cab Guid: 0"
Information,07-07-2026 21:18:01,Windows Error Reporting,1001,"Fault bucket , type 0
Event Name: WindowsWcpOtherFailure3
Response: Not available
Cab Id: 0

Problem signature:
P1: 10.0.26100.8733:1
P2: wcp\componentstore\scavenge.cpp
P3: ComponentStore::CRawStoreLayout::RetainFileAsVersion
P4: 1834
P5: c015001b
P6: 0xe8d35e54
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260707154321.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260703174020.cab
\\?\C:\Windows\Logs\CBS\container.etl
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\WinSxs\poqexec.log
\\?\C:\WINDOWS\Logs\Cbs\FilterList.log

These files may be available here:
NULL

Analysis symbol: 
Rechecking for solution: 0
Report Id: 01493d3b-b661-439f-a02c-f2be24956cf6
Report Status: 262148
Hashed bucket: 
Cab Guid: 0"
Information,07-07-2026 21:18:01,Windows Error Reporting,1001,"Fault bucket , type 0
Event Name: WindowsWcpOtherFailure3
Response: Not available
Cab Id: 0

Problem signature:
P1: 10.0.26100.8733:1
P2: wcp\componentstore\scavenge.cpp
P3: ComponentStore::CRawStoreLayout::RetainFileAsVersion
P4: 1834
P5: c015001b
P6: 0xe8d35e54
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Windows\Logs\CBS\CBS.log
\\?\C:\Windows\Logs\CBS\CbsPersist_20260707154321.cab
\\?\C:\Windows\Logs\CBS\CbsPersist_20260703174020.cab
\\?\C:\Windows\Logs\CBS\container.etl
\\?\C:\WINDOWS\servicing\Sessions\Sessions.xml
\\?\C:\WINDOWS\WinSxs\poqexec.log
\\?\C:\WINDOWS\Logs\Cbs\FilterList.log
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.f2a00499-06d3-41c9-9bfb-51fcffd804d6.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260706_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.acba96d9-8b61-4117-876e-2d461b4a3dc0.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d6a19916-4ab1-4fb4-8245-6c6395b3bbed.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.64fed99c-957c-4643-988c-c6145a766c60.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.e4d95919-26d0-4e60-bb95-c33afb4b7441.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.7e28af5c-f81b-4a1b-bf39-8843e26699cc.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.79bebaf3-5b62-4e44-9e17-8f18465e41b0.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6\memory.hdmp
\\?\C:\Windows\SystemTemp\WER.33f475c3-90da-4aec-865f-0bf0dab63713.tmp.WERDataCollectionStatus.txt

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Critical_10.0.26100.8733__d29a81619ce686a8163c747995a61d650ff7f_00000000_cab_01493d3b-b661-439f-a02c-f2be24956cf6

Analysis symbol: 
Rechecking for solution: 0
Report Id: 01493d3b-b661-439f-a02c-f2be24956cf6
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Information,07-07-2026 21:15:47,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T15:45:47Z. Reason: RulesEngine.
Information,07-07-2026 21:15:17,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 21:14:30,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T15:44:30Z. Reason: RulesEngine.
Information,07-07-2026 21:13:59,Microsoft-Windows-Security-SPP,1033,"These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=55c92734-d682-4d71-983e-d6ec3f16059f
Sku Id=8a292df8-d653-4057-8133-a0701792f912"
Information,07-07-2026 21:13:59,Microsoft-Windows-Security-SPP,1034,Duplicate definition of policy found. Policy name=Security-SPP-WriteWauMarker  Priority=500
Information,07-07-2026 21:13:59,Microsoft-Windows-Security-SPP,1034,Duplicate definition of policy found. Policy name=AAD-AddDeviceJoinUserToAdminGroup-Policy  Priority=100
Information,07-07-2026 21:13:58,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 21:10:23,DellTechHub,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:10:23,Dell SupportAssist Remediation,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:10:20,DellTechHub,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:10:20,Dell SupportAssist Remediation,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:07:53,DellTechHub,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:07:53,Dell SupportAssist Remediation,0,PowerEvent handled successfully by the service.
Information,07-07-2026 21:06:09,Windows Error Reporting,1001,"Fault bucket 1599248754078846234, type 5
Event Name: StoreAgentInstallFailure1
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;MoUpdateOrchestratorUserScan-MoUsoCoreWorker-SearchForAllUpdatesWithUpdateOptionsAsync
P2: 80073d02
P3: 26200
P4: 8737
P5: Windows.Desktop
P6: 0
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Windows\Temp\FailureReportMetadata_4979.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.be090b9d-1027-4849-9cca-96c98f1bf13a.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_cab_3b392212-2ab3-4e9c-898d-d4cddd4cab3b\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260706_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.187d2925-6794-498b-9daa-8418f78ab172.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_cab_3b392212-2ab3-4e9c-898d-d4cddd4cab3b\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1febc5a6-1c24-487e-94dc-4a6744eed265.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5eedb2ef-c463-485b-9e5c-7c963678432c.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.410a19c5-c328-40a7-ab74-95e85bf7182c.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1cdcd61d-cf95-4bbd-8a39-6ad7bbda9f06.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_3b392212-2ab3-4e9c-898d-d4cddd4cab3b

Analysis symbol: 
Rechecking for solution: 0
Report Id: 3b392212-2ab3-4e9c-898d-d4cddd4cab3b
Report Status: 268435456
Hashed bucket: a3b2bba5d800b4044631ac44c65b0d1a
Cab Guid: 0"
Information,07-07-2026 21:05:57,Windows Error Reporting,1001,"Fault bucket , type 0
Event Name: StoreAgentInstallFailure1
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;MoUpdateOrchestratorUserScan-MoUsoCoreWorker-SearchForAllUpdatesWithUpdateOptionsAsync
P2: 80073d02
P3: 26200
P4: 8737
P5: Windows.Desktop
P6: 0
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\Windows\Temp\FailureReportMetadata_4979.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.be090b9d-1027-4849-9cca-96c98f1bf13a.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_cab_3b392212-2ab3-4e9c-898d-d4cddd4cab3b\WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260706_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.187d2925-6794-498b-9daa-8418f78ab172.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_cab_3b392212-2ab3-4e9c-898d-d4cddd4cab3b\WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1febc5a6-1c24-487e-94dc-4a6744eed265.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5eedb2ef-c463-485b-9e5c-7c963678432c.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.410a19c5-c328-40a7-ab74-95e85bf7182c.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.1cdcd61d-cf95-4bbd-8a39-6ad7bbda9f06.tmp.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;MoUpdateO_3c409b9c27f168319569e228c28ec311189d90_00000000_cab_3b392212-2ab3-4e9c-898d-d4cddd4cab3b

Analysis symbol: 
Rechecking for solution: 0
Report Id: 3b392212-2ab3-4e9c-898d-d4cddd4cab3b
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Information,07-07-2026 21:05:51,Microsoft-Windows-AppXDeploymentServer/Operational,2562,"The description for Event ID 2562 from source Microsoft-Windows-AppXDeploymentServer/Operational cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

MSIXDeployment
windows.applicationData
DeleteMachineFolder
Package Microsoft.GetHelp_10.2409.41392.0_x64__8wekyb3d8bbwe removed machine folder C:\ProgramData\Microsoft\Windows\AppRepository\Families\ApplicationData\Microsoft.GetHelp_8wekyb3d8bbwe: The system cannot find the path specified.

The message resource is present but the message was not found in the message table
"
Information,07-07-2026 21:04:21,SecurityCenter,15,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
Information,07-07-2026 21:04:19,SecurityCenter,15,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
Information,07-07-2026 20:46:19,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T15:16:19Z. Reason: RulesEngine.
Information,07-07-2026 20:45:49,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 20:37:29,Windows Error Reporting,1001,"Fault bucket 1654034275144897964, type 5
Event Name: RADAR_PRE_LEAK_64
Response: Not available
Cab Id: 0

Problem signature:
P1: Code.exe
P2: 1.127.0.0
P3: 10.0.26200.2.0.0
P4: 
P5: 
P6: 
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\E:\temp\RDR7CB1.tmp\empty.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.033b0df4-5356-4acf-b789-95864c4b853a.tmp.WERInternalMetadata.xml
WPR_initiated_DiagTrackMiniLogger_OneTrace_User_Logger_20260706_1_EC_0_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.3d6574b7-c7e1-4594-b594-e3e9a87140fd.tmp.etl
WPR_initiated_DiagTrackMiniLogger_WPR System Collector_inject.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.cb92fc56-0a3a-4dce-a153-7291926f5793.tmp.etl
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b9862ba6-6aae-44ad-a45e-acd82d1170a1.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.d4a9a789-bc8b-472f-bb65-85d7b328ebf3.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.58de761f-283e-4791-9815-46b5fe18800a.tmp.xml

These files may be available here:
NULL

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9aa83f7e-30f6-4727-8e3d-65d318ddd523
Report Status: 268435456
Hashed bucket: 03c6f04dc0df144d46f44f68e85515ac
Cab Guid: 0"
Information,07-07-2026 20:22:54,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T14:52:54Z. Reason: RulesEngine.
Information,07-07-2026 20:22:20,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 20:18:26,Microsoft-Windows-AppXDeploymentServer/Operational,2562,"The description for Event ID 2562 from source Microsoft-Windows-AppXDeploymentServer/Operational cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

MSIXDeployment
windows.applicationData
DeleteMachineFolder
Package Microsoft.VisualStudioCode_1.0.124.2_neutral__8wekyb3d8bbwe removed machine folder C:\ProgramData\Microsoft\Windows\AppRepository\Families\ApplicationData\Microsoft.VisualStudioCode_8wekyb3d8bbwe: The system cannot find the path specified.

The message resource is present but the message was not found in the message table
"
Information,07-07-2026 20:18:17,Microsoft-Windows-RestartManager,10001,Ending session 6 started ‎2026‎-‎07‎-‎07T14:48:17.593184900Z.
Information,07-07-2026 20:18:17,Microsoft-Windows-RestartManager,10000,Starting session 6 - ‎2026‎-‎07‎-‎07T14:48:17.593184900Z.
Information,07-07-2026 20:18:15,Microsoft-Windows-RestartManager,10001,Ending session 6 started ‎2026‎-‎07‎-‎07T14:48:15.811745100Z.
Information,07-07-2026 20:18:15,Microsoft-Windows-RestartManager,10000,Starting session 6 - ‎2026‎-‎07‎-‎07T14:48:15.811745100Z.
Information,07-07-2026 20:17:34,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T14:47:34Z. Reason: RulesEngine.
Information,07-07-2026 20:17:04,Microsoft-Windows-Security-SPP,1033,"These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=55c92734-d682-4d71-983e-d6ec3f16059f
Sku Id=8a292df8-d653-4057-8133-a0701792f912"
Information,07-07-2026 20:17:04,Microsoft-Windows-Security-SPP,1034,Duplicate definition of policy found. Policy name=Security-SPP-WriteWauMarker  Priority=500
Information,07-07-2026 20:17:04,Microsoft-Windows-Security-SPP,1034,Duplicate definition of policy found. Policy name=AAD-AddDeviceJoinUserToAdminGroup-Policy  Priority=100
Information,07-07-2026 20:17:04,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 20:11:04,MsiInstaller,1042,Ending a Windows Installer transaction: c:\program files\microsoft office\root\integration\c2rint.16.msi. Client Process Id: 11924.
Information,07-07-2026 20:11:04,MsiInstaller,1035,Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Extensibility Component. Product Version: 16.0.20131.20112. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,07-07-2026 20:11:04,MsiInstaller,11728,Product: Office 16 Click-to-Run Extensibility Component -- Configuration completed successfully.
Information,07-07-2026 20:11:01,Microsoft-Windows-Search,1003,Search service,The Windows Search Service started.

Information,07-07-2026 20:11:00,MsiInstaller,1040,Beginning a Windows Installer transaction: c:\program files\microsoft office\root\integration\c2rint.16.msi. Client Process Id: 11924.
Information,07-07-2026 20:10:57,Microsoft-Windows-Search,1013,Search service,Windows Search Service stopped normally.

Information,07-07-2026 20:10:56,MsiInstaller,1042,Ending a Windows Installer transaction: c:\program files\microsoft office\root\integration\c2rint.16.msi. Client Process Id: 11924.
Information,07-07-2026 20:10:54,MsiInstaller,1035,Windows Installer reconfigured the product. Product Name: Office 16 Click-to-Run Extensibility Component. Product Version: 16.0.20131.20112. Product Language: 0. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,07-07-2026 20:10:54,MsiInstaller,11728,Product: Office 16 Click-to-Run Extensibility Component -- Configuration completed successfully.
Information,07-07-2026 20:10:37,MsiInstaller,1040,Beginning a Windows Installer transaction: c:\program files\microsoft office\root\integration\c2rint.16.msi. Client Process Id: 11924.
Information,07-07-2026 20:10:09,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T14:40:09Z. Reason: RulesEngine.
Information,07-07-2026 20:09:58,Microsoft-Windows-Search,1003,Search service,The Windows Search Service started.

Information,07-07-2026 20:09:58,Microsoft-Windows-Search,1013,Search service,Windows Search Service stopped normally.

Information,07-07-2026 20:09:50,Microsoft-Windows-RestartManager,10000,Starting session 6 - ‎2026‎-‎07‎-‎07T14:39:50.928697200Z.
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office436366DE-5579-4F24-96DB-3893E4400030 PPD License
License Id=24458741-e83d-5f5c-b43a-465eba244525"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 16 UL oob License (Private)
License Id=b0630698-7987-48ad-922b-83fe4992be73"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 16 UL oob License (Public)
License Id=84161302-57f7-40fd-8b32-06b42e2aec91"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office112B0ED2-CF1A-42CE-A0C2-4EE20B59D267 PPD License
License Id=4bbf45f4-365b-0e65-6f8c-a06d9e66f052"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 UL oob License (Private)
License Id=f10776f4-9026-4824-9b6f-ed6d051267c8"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 UL oob License (Public)
License Id=0d131c48-c7b0-44c6-b5d6-67d3d16d30bc"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 Publishing License (Private)
License Id=3d32cafb-c20f-4283-b312-2d025536cc00"
Information,07-07-2026 20:09:39,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 Publishing License (Public)
License Id=12d06648-a383-4dc6-bbfc-dc18abe3ff2a"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office0CF5C9C4-62D8-42E7-8443-B2715DDAE7BA PPD License
License Id=1f924606-fe78-adae-025a-9e2d313c526b"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 UL oob License (Private)
License Id=db1ed652-ece8-4a54-b9e6-3138b80c5588"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 UL oob License (Public)
License Id=bb113ecc-aa18-4154-a46d-aed4ae1fc0e9"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 Publishing License (Private)
License Id=1cae146f-0983-4e15-b5d6-34d6e7c42b1b"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 Publishing License (Public)
License Id=8c734265-0132-400e-a7b4-cd374fee3831"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office44F73EE6-D2F7-4502-97D5-046E8820662E PPD License
License Id=9687427f-277d-46a5-12aa-46a2b3fd7a2b"
Information,07-07-2026 20:09:38,Microsoft-Windows-Security-SPP,1004,"The Software Protection service has successfully installed the license.
License Title=Office 21 UL oob License (Private)
License Id=ab10e2dc-4a0e-48a9-ac08-3d286015c493"
